baseline,arm,variable,level,lead,spread,spread_rms,crps,n_inits
aifs,ic,specific_humidity,500,72,0.00014885929,0.00021348331,0.00024456113,112
aifs,weight+ic,specific_humidity,500,72,0.00030040181,0.00036725964,0.00021911847,112
aifs,weight,specific_humidity,500,120,0.00038840068,0.00047116903,0.00026393815,112
aifs,ic,specific_humidity,500,120,0.00019679171,0.00027289948,0.00030478236,112
aifs,weight+ic,specific_humidity,500,120,0.00042188325,0.00050838516,0.00027233605,112
aifs,weight,specific_humidity,500,240,0.00061533924,0.00072036371,0.00036554291,112
aifs,ic,specific_humidity,500,240,0.00037301285,0.00047383947,0.00039814796,112
aifs,weight+ic,specific_humidity,500,240,0.00062847755,0.00073297711,0.00036907553,112
aifs,weight,specific_humidity,850,6,7.5965186e-05,7.9750056e-05,0.00020946576,112
aifs,ic,specific_humidity,850,6,0.00033020767,0.00044892957,0.00034461664,112
aifs,weight+ic,specific_humidity,850,6,0.00034836665,0.00045754706,0.00034155318,112
aifs,weight,specific_humidity,850,24,0.00025496581,0.00028938984,0.00040704623,112
aifs,ic,specific_humidity,850,24,0.00028262906,0.00038024452,0.00045255632,112
aifs,weight+ic,specific_humidity,850,24,0.00039556438,0.0004801461,0.00043091179,112
aifs,weight,specific_humidity,850,72,0.00062728006,0.00073686896,0.00054488513,112
aifs,ic,specific_humidity,850,72,0.00034898141,0.00048732923,0.0006293002,112
aifs,weight+ic,specific_humidity,850,72,0.00072880507,0.00086478146,0.00055930789,112
aifs,weight,specific_humidity,850,120,0.0009356387,0.001092469,0.00065356349,112
aifs,ic,specific_humidity,850,120,0.0004787892,0.00065197294,0.00076084234,112
aifs,weight+ic,specific_humidity,850,120,0.0010225906,0.0011875732,0.00067191598,112
aifs,weight,specific_humidity,850,240,0.0014981814,0.001686636,0.00086059683,112
aifs,ic,specific_humidity,850,240,0.00088089201,0.0010918712,0.00094552773,112
aifs,weight+ic,specific_humidity,850,240,0.0015318048,0.0017170607,0.00086806036,112
aurora,weight,2m_temperature,,6,0.073609674,0.084661981,0.26850989,112
aurora,ic,2m_temperature,,6,0.33534725,0.39010849,0.51561575,112
aurora,weight+ic,2m_temperature,,6,0.34413067,0.39765336,0.51404437,112
aurora,weight,2m_temperature,,24,0.24435385,0.28269663,0.36927799,112
aurora,ic,2m_temperature,,24,0.30661979,0.36519679,0.47331746,112
aurora,weight+ic,2m_temperature,,24,0.39285371,0.45078818,0.43760213,112
aurora,weight,2m_temperature,,72,0.66152192,0.79560814,0.60471693,112
aurora,ic,2m_temperature,,72,0.4346301,0.61719604,0.73608112,112
aurora,weight+ic,2m_temperature,,72,0.76472875,0.94808901,0.61926373,112
aurora,weight,2m_temperature,,120,1.05934,1.3347199,0.80977427,112
aurora,ic,2m_temperature,,120,0.6824112,1.0433213,0.97189149,112
aurora,weight+ic,2m_temperature,,120,1.1769994,1.5237366,0.81630444,112
aurora,weight,2m_temperature,,240,1.9296694,2.5307989,1.2194881,112
aurora,ic,2m_temperature,,240,1.3894618,2.0650222,1.3773379,112
aurora,weight+ic,2m_temperature,,240,1.9971188,2.6294079,1.2111016,112
aurora,weight,mean_sea_level_pressure,,6,7.6435201,8.3328662,12.126204,112
aurora,ic,mean_sea_level_pressure,,6,27.81817,32.05071,24.726739,112
aurora,weight+ic,mean_sea_level_pressure,,6,28.910258,33.067664,24.66009,112
aurora,weight,mean_sea_level_pressure,,24,29.132578,33.674966,28.451041,112
aurora,ic,mean_sea_level_pressure,,24,34.31939,43.715534,36.683481,112
aurora,weight+ic,mean_sea_level_pressure,,24,45.331843,54.723508,34.974342,112
aurora,weight,mean_sea_level_pressure,,72,99.156038,125.70469,68.051729,112
aurora,ic,mean_sea_level_pressure,,72,85.887461,129.10998,79.120786,112
aurora,weight+ic,mean_sea_level_pressure,,72,129.72363,172.85206,73.347832,112
aurora,weight,mean_sea_level_pressure,,120,190.18934,257.58374,129.13358,112
aurora,ic,mean_sea_level_pressure,,120,164.99264,250.74656,141.88744,112
aurora,weight+ic,mean_sea_level_pressure,,120,236.32298,325.11975,133.35636,112
aurora,weight,mean_sea_level_pressure,,240,441.21839,589.89501,259.46668,112
aurora,ic,mean_sea_level_pressure,,240,395.01973,554.6316,268.48728,112
aurora,weight+ic,mean_sea_level_pressure,,240,465.23608,619.12149,257.50779,112
aurora,weight,geopotential,500,6,15.720341,16.050448,9.4455339,112
aurora,ic,geopotential,500,6,18.154843,21.209389,18.079226,112
aurora,weight+ic,geopotential,500,6,24.918562,26.940418,17.09942,112
aurora,weight,geopotential,500,24,43.628819,47.240134,26.768713,112
aurora,ic,geopotential,500,24,29.427167,38.938474,38.63636,112
aurora,weight+ic,geopotential,500,24,52.991912,60.520753,32.5629,112
aurora,weight,geopotential,500,72,119.03568,147.52861,80.014359,112
aurora,ic,geopotential,500,72,82.502911,124.79056,104.86487,112
aurora,weight+ic,geopotential,500,72,145.03575,187.0152,88.017746,112
aurora,weight,geopotential,500,120,215.9722,287.26191,150.91084,112
aurora,ic,geopotential,500,120,162.96209,249.58734,179.89386,112
aurora,weight+ic,geopotential,500,120,258.83019,350.12067,156.76103,112
aurora,weight,geopotential,500,240,497.14833,672.42613,319.30934,112
aurora,ic,geopotential,500,240,422.16785,601.84338,342.17985,112
aurora,weight+ic,geopotential,500,240,525.76436,708.97577,316.75733,112
aurora,weight,geopotential,850,6,7.806773,8.4737605,8.9241611,112
aurora,ic,geopotential,850,6,18.389684,20.937305,17.007429,112
aurora,weight+ic,geopotential,850,6,20.027385,22.539036,16.708424,112
aurora,weight,geopotential,850,24,24.731163,28.857681,21.094829,112
aurora,ic,geopotential,850,24,24.250356,30.894065,28.021058,112
aurora,weight+ic,geopotential,850,24,34.930931,42.032713,26.033497,112
aurora,weight,geopotential,850,72,77.851747,98.676879,52.062736,112
aurora,ic,geopotential,850,72,62.729162,93.656528,63.704592,112
aurora,weight+ic,geopotential,850,72,99.248947,130.98924,57.614959,112
aurora,weight,geopotential,850,120,146.07427,196.95873,98.6659,112
aurora,ic,geopotential,850,120,121.5818,183.8259,111.74013,112
aurora,weight+ic,geopotential,850,120,179.54744,245.32713,103.21305,112
aurora,weight,geopotential,850,240,338.1662,453.24214,201.79562,112
aurora,ic,geopotential,850,240,297.40387,418.10232,211.27846,112
aurora,weight+ic,geopotential,850,240,356.96205,476.16239,200.71419,112
aurora,weight,temperature,500,6,0.10327721,0.10650178,0.10828699,112
aurora,ic,temperature,500,6,0.23846083,0.26492799,0.23433483,112
aurora,weight+ic,temperature,500,6,0.26149655,0.28577034,0.23518381,112
aurora,weight,temperature,500,24,0.29076052,0.30788271,0.24720064,112
aurora,ic,temperature,500,24,0.26875511,0.32208493,0.31420942,112
aurora,weight+ic,temperature,500,24,0.39573674,0.4374308,0.28967498,112
aurora,weight,temperature,500,72,0.73201873,0.83641802,0.48660643,112
aurora,ic,temperature,500,72,0.52716856,0.72944171,0.57958457,112
aurora,weight+ic,temperature,500,72,0.87253196,1.0395886,0.50685476,112
aurora,weight,temperature,500,120,1.1935222,1.4318585,0.76936007,112
aurora,ic,temperature,500,120,0.88933786,1.248957,0.88050544,112
aurora,weight+ic,temperature,500,120,1.3727372,1.6869329,0.78028575,112
aurora,weight,temperature,500,240,2.2585965,2.7670657,1.3946029,112
aurora,ic,temperature,500,240,1.9177496,2.5151301,1.4731275,112
aurora,weight+ic,temperature,500,240,2.3633223,2.8970349,1.3804062,112
aurora,weight,temperature,850,6,0.10625984,0.11535982,0.1653425,112
aurora,ic,temperature,850,6,0.39103681,0.49156483,0.37345366,112
aurora,weight+ic,temperature,850,6,0.40725209,0.50288481,0.37158663,112
aurora,weight,temperature,850,24,0.30664368,0.35073237,0.34767092,112
aurora,ic,temperature,850,24,0.36691742,0.46147482,0.43963051,112
aurora,weight+ic,temperature,850,24,0.47544328,0.56034538,0.41266935,112
aurora,weight,temperature,850,72,0.80957291,0.96273948,0.58635177,112
aurora,ic,temperature,850,72,0.60057637,0.81263774,0.69478443,112
aurora,weight+ic,temperature,850,72,0.95817332,1.1613975,0.60572783,112
aurora,weight,temperature,850,120,1.3208486,1.6006685,0.86634914,112
aurora,ic,temperature,850,120,0.9933783,1.3607516,1.0039029,112
aurora,weight+ic,temperature,850,120,1.5154538,1.8616653,0.87772141,112
aurora,weight,temperature,850,240,2.5340449,3.0734748,1.5170607,112
aurora,ic,temperature,850,240,2.1103599,2.7202638,1.6466229,112
aurora,weight+ic,temperature,850,240,2.6520216,3.2119155,1.511468,112
aurora,weight,u_component_of_wind,500,6,0.20125768,0.2188668,0.32637831,112
aurora,ic,u_component_of_wind,500,6,0.83513888,0.9503786,0.71131982,112
aurora,weight+ic,u_component_of_wind,500,6,0.86096231,0.97295159,0.70693581,112
aurora,weight,u_component_of_wind,500,24,0.64369024,0.72728225,0.88409351,112
aurora,ic,u_component_of_wind,500,24,0.93516697,1.1083654,0.95721372,112
aurora,weight+ic,u_component_of_wind,500,24,1.1409926,1.2985005,0.91934114,112
aurora,weight,u_component_of_wind,500,72,1.9953144,2.3017653,1.5454944,112
aurora,ic,u_component_of_wind,500,72,1.7541832,2.2608363,1.6841651,112
aurora,weight+ic,u_component_of_wind,500,72,2.5171918,2.9282666,1.5544523,112
aurora,weight,u_component_of_wind,500,120,3.417718,3.9140379,2.2488951,112
aurora,ic,u_component_of_wind,500,120,2.7934618,3.5765762,2.4680111,112
aurora,weight+ic,u_component_of_wind,500,120,3.9554178,4.5583921,2.2787755,112
aurora,weight,u_component_of_wind,500,240,6.4005743,7.2107917,3.7462724,112
aurora,ic,u_component_of_wind,500,240,5.5348426,6.5855057,3.9173809,112
aurora,weight+ic,u_component_of_wind,500,240,6.6569225,7.4793248,3.7385183,112
aurora,weight,u_component_of_wind,850,6,0.1304499,0.1442863,0.3014854,112
aurora,ic,u_component_of_wind,850,6,0.76611343,0.87807425,0.61871633,112
aurora,weight+ic,u_component_of_wind,850,6,0.77689954,0.88749734,0.61675248,112
aurora,weight,u_component_of_wind,850,24,0.40557829,0.47829828,0.72222708,112
aurora,ic,u_component_of_wind,850,24,0.75978465,0.91921494,0.78699392,112
aurora,weight+ic,u_component_of_wind,850,24,0.85849345,1.015222,0.76373396,112
aurora,weight,u_component_of_wind,850,72,1.3217537,1.6174901,1.1846602,112
aurora,ic,u_component_of_wind,850,72,1.3361498,1.7685843,1.2695976,112
aurora,weight+ic,u_component_of_wind,850,72,1.7523509,2.1590511,1.182165,112
aurora,weight,u_component_of_wind,850,120,2.3284394,2.8158086,1.6847129,112
aurora,ic,u_component_of_wind,850,120,2.0925742,2.736894,1.8259238,112
aurora,weight+ic,u_component_of_wind,850,120,2.7528241,3.3323015,1.6919162,112
aurora,weight,u_component_of_wind,850,240,4.3043989,4.989039,2.6094655,112
aurora,ic,u_component_of_wind,850,240,3.8790832,4.7014328,2.7293492,112
aurora,weight+ic,u_component_of_wind,850,240,4.4604766,5.1521153,2.5915773,112
aurora,weight,v_component_of_wind,500,6,0.1737961,0.18985726,0.34040869,112
aurora,ic,v_component_of_wind,500,6,0.84305587,0.95339671,0.71013191,112
aurora,weight+ic,v_component_of_wind,500,6,0.8609219,0.96963453,0.70722712,112
aurora,weight,v_component_of_wind,500,24,0.5654961,0.6609699,0.91640391,112
aurora,ic,v_component_of_wind,500,24,0.95387993,1.1406084,0.96039024,112
aurora,weight+ic,v_component_of_wind,500,24,1.1089196,1.2918811,0.92918442,112
aurora,weight,v_component_of_wind,500,72,1.8576839,2.2827171,1.5565539,112
aurora,ic,v_component_of_wind,500,72,1.7678964,2.3652319,1.682304,112
aurora,weight+ic,v_component_of_wind,500,72,2.3974313,2.9589687,1.5693201,112
aurora,weight,v_component_of_wind,500,120,3.2509216,3.9862798,2.2767453,112
aurora,ic,v_component_of_wind,500,120,2.8383419,3.7941297,2.4740273,112
aurora,weight+ic,v_component_of_wind,500,120,3.8055878,4.6821374,2.3008423,112
